date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:33	70/70	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/robots.txt		(from )
20:32:36	3306/3306	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/	C:/My%20Web%20Sites/soka%20fans/sokafans.com/index.html	(from )
20:32:43	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/favicon.ico	C:/My%20Web%20Sites/soka%20fans/sokafans.com/favicon.ico	(from https://sokafans.com/)
20:32:46	5409/5409	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/apple-touch-icon.png	C:/My%20Web%20Sites/soka%20fans/sokafans.com/apple-touch-icon.png	(from https://sokafans.com/)
20:32:50	802/802	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/favicon-32x32.png	C:/My%20Web%20Sites/soka%20fans/sokafans.com/favicon-32x32.png	(from https://sokafans.com/)
20:32:50	413/413	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/favicon-16x16.png	C:/My%20Web%20Sites/soka%20fans/sokafans.com/favicon-16x16.png	(from https://sokafans.com/)
20:32:52	633/633	---M--	200	added ('OK')	application/json	date:Sun,%2005%20Feb%202023%2022:35:40%20GMT	https://sokafans.com/manifest.json	C:/My%20Web%20Sites/soka%20fans/sokafans.com/manifest.json	(from https://sokafans.com/)
20:32:53	8769/8769	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/css/2.2690b630.chunk.css	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/css/2.2690b630.chunk.css	(from https://sokafans.com/)
20:32:54	426/426	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/css/main.ab62a373.chunk.css	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/css/main.ab62a373.chunk.css	(from https://sokafans.com/)
20:32:58	150541/150541	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/js/main.6d20ed37.chunk.js	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/js/main.6d20ed37.chunk.js	(from https://sokafans.com/)
20:33:26	1806038/1806038	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/js/2.c7af46d2.chunk.js	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/js/2.c7af46d2.chunk.js	(from https://sokafans.com/)
20:35:18	65164/65164	---M--	200	added ('OK')	font/woff	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-all-300-normal.2323284e.woff	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-all-300-normal.2323284e.woff	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:35:49	9576/9576	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-cyrillic-300-normal.9b9ec295.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-cyrillic-300-normal.9b9ec295.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:35:50	1480/1480	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-greek-ext-300-normal.c2be5367.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-greek-ext-300-normal.c2be5367.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:35:51	7120/7120	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-greek-300-normal.dcdaee37.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-greek-300-normal.dcdaee37.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:35:59	5468/5468	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-vietnamese-300-normal.48c684d9.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-vietnamese-300-normal.48c684d9.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:36:05	15740/15740	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-latin-300-normal.b9c29351.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-latin-300-normal.b9c29351.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:36:07	11796/11796	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-latin-ext-300-normal.716871ec.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-latin-ext-300-normal.716871ec.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
20:36:08	15344/15344	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Feb%202023%2018:39:24%20GMT	https://sokafans.com/static/media/roboto-cyrillic-ext-400-normal.c00467dc.woff2	C:/My%20Web%20Sites/soka%20fans/sokafans.com/static/media/roboto-cyrillic-ext-400-normal.c00467dc.woff2	(from https://sokafans.com/static/css/2.2690b630.chunk.css)
